fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,dumbfieldname,new?
core acquisition ns2:acquisitions_common groupPurchasePriceValue,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.groupPurchasePriceValue,Acquisition Information,Price Information > Group purchase price,Group purchase price value,"",groupPurchasePriceValue,float,n,n,n/a,"","",acquisition groupPurchasePriceValue,""
core acquisition ns2:acquisitions_common objectOfferPriceCurrency,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceCurrency,Acquisition Information,Price Information > Object offer price,Object offer price currency,"",objectOfferPriceCurrency,string,n,n,n/a,vocabulary: currency,"",acquisition objectOfferPriceCurrency,""
core acquisition ns2:acquisitions_common objectOfferPriceValue,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectOfferPriceValue,Acquisition Information,Price Information > Object offer price,Object offer price value,"",objectOfferPriceValue,float,n,n,n/a,"","",acquisition objectOfferPriceValue,""
core acquisition ns2:acquisitions_common objectPurchaseOfferPriceCurrency,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceCurrency,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price currency,"",objectPurchaseOfferPriceCurrency,string,n,n,n/a,vocabulary: currency,"",acquisition objectPurchaseOfferPriceCurrency,""
core acquisition ns2:acquisitions_common objectPurchaseOfferPriceValue,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchaseOfferPriceValue,Acquisition Information,Price Information > Object purchaser offer price,Object purchaser offer price value,"",objectPurchaseOfferPriceValue,float,n,n,n/a,"","",acquisition objectPurchaseOfferPriceValue,""
core acquisition ns2:acquisitions_common objectPurchasePriceCurrency,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceCurrency,Acquisition Information,Price Information > Object purchase price,Object purchase price currency,"",objectPurchasePriceCurrency,string,n,n,n/a,vocabulary: currency,"",acquisition objectPurchasePriceCurrency,""
core acquisition ns2:acquisitions_common objectPurchasePriceValue,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.objectPurchasePriceValue,Acquisition Information,Price Information > Object purchase price,Object purchase price value,"",objectPurchasePriceValue,float,n,n,n/a,"","",acquisition objectPurchasePriceValue,""
core acquisition ns2:acquisitions_common originalObjectPurchasePriceCurrency,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceCurrency,Acquisition Information,Price Information > Original object purchase price,Original object purchase price currency,"",originalObjectPurchasePriceCurrency,string,n,n,n/a,vocabulary: currency,"",acquisition originalObjectPurchasePriceCurrency,""
core acquisition ns2:acquisitions_common originalObjectPurchasePriceValue,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.originalObjectPurchasePriceValue,Acquisition Information,Price Information > Original object purchase price,Original object purchase price value,"",originalObjectPurchasePriceValue,float,n,n,n/a,"","",acquisition originalObjectPurchasePriceValue,""
core acquisition ns2:acquisitions_common acquisitionReason,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionReason,Acquisition Information,"",Acquisition reason,"",acquisitionReason,string,n,n,n/a,"","",acquisition acquisitionReason,""
core acquisition ns2:acquisitions_common approvalGroup,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalGroup,Acquisition Information,Approval,Approval,approvalGroupList > approvalGroup,approvalGroup,string,n,n,y,vocabulary: deaccessionapprovalgroup,"",acquisition approvalGroup,""
core acquisition ns2:acquisitions_common approvalIndividual,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalIndividual,Acquisition Information,Approval,Approval individual,approvalGroupList > approvalGroup,approvalIndividual,string,n,n,y,authority: person/local,"",acquisition approvalIndividual,""
core acquisition ns2:acquisitions_common approvalStatus,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalStatus,Acquisition Information,Approval,Approval status,approvalGroupList > approvalGroup,approvalStatus,string,n,n,y,vocabulary: deaccessionapprovalstatus,"",acquisition approvalStatus,""
core acquisition ns2:acquisitions_common approvalDate,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalDate,Acquisition Information,Approval,Approval status date,approvalGroupList > approvalGroup,approvalDate,date,n,n,y,"","",acquisition approvalDate,""
core acquisition ns2:acquisitions_common approvalNote,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.approvalNote,Acquisition Information,Approval,Approval note,approvalGroupList > approvalGroup,approvalNote,string,n,n,y,"","",acquisition approvalNote,""
core acquisition ns2:acquisitions_common acquisitionNote,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionNote,Acquisition Information,"",Note,"",acquisitionNote,string,n,n,n/a,"","",acquisition acquisitionNote,""
core acquisition ns2:acquisitions_common acquisitionProvisos,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionProvisos,Acquisition Information,"",Provisos,"",acquisitionProvisos,string,n,n,n/a,"","",acquisition acquisitionProvisos,""
core acquisition ns2:acquisitions_common acquisitionFundingCurrency,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingCurrency,Acquisition Information,Funding,Funding currency,acquisitionFundingList > acquisitionFunding,acquisitionFundingCurrency,string,n,n,y,vocabulary: currency,"",acquisition acquisitionFundingCurrency,""
core acquisition ns2:acquisitions_common acquisitionFundingValue,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingValue,Acquisition Information,Funding,Funding value,acquisitionFundingList > acquisitionFunding,acquisitionFundingValue,float,n,n,y,"","",acquisition acquisitionFundingValue,""
core acquisition ns2:acquisitions_common acquisitionFundingSource,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingSource,Acquisition Information,Funding,Funding source,acquisitionFundingList > acquisitionFunding,acquisitionFundingSource,string,n,n,y,authority: person/local; authority: organization/local,"",acquisition acquisitionFundingSource,""
core acquisition ns2:acquisitions_common acquisitionFundingSourceProvisos,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.acquisitionFundingSourceProvisos,Acquisition Information,Funding,Funding source provisos,acquisitionFundingList > acquisitionFunding,acquisitionFundingSourceProvisos,string,n,n,y,"","",acquisition acquisitionFundingSourceProvisos,""
core acquisition ns2:acquisitions_common creditLine,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.creditLine,Acquisition Information,"",Credit line,"",creditLine,string,n,n,n/a,"","",acquisition creditLine,""
core acquisition ns2:acquisitions_common fieldCollectionEventName,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.fieldCollectionEventName,Object Collection Information,"",Field collection event name,fieldCollectionEventNames,fieldCollectionEventName,string,n,y,n,"","",acquisition fieldCollectionEventName,""
core citation ns2:citations_common termDisplayName,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termDisplayName,Citation Information,Term,Term display name,citationTermGroupList > citationTermGroup,termDisplayName,string,y,n,y,"","",citation termDisplayName,""
core citation ns2:citations_common termStatus,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termStatus,Citation Information,Term,Term status,citationTermGroupList > citationTermGroup,termStatus,string,n,n,y,option list: citationTermStatuses,"accepted, provisional, rejected, under review",citation termStatus,""
core citation ns2:citations_common termType,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termType,Citation Information,Term,Term type,citationTermGroupList > citationTermGroup,termType,string,n,n,y,vocabulary: citationtermtype,"",citation termType,""
core citation ns2:citations_common termFlag,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termFlag,Citation Information,Term,Term flag,citationTermGroupList > citationTermGroup,termFlag,string,n,n,y,vocabulary: citationtermflag,"",citation termFlag,""
core citation ns2:citations_common termLanguage,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termLanguage,Citation Information,Term,Term language,citationTermGroupList > citationTermGroup,termLanguage,string,n,n,y,vocabulary: languages,"",citation termLanguage,""
core citation ns2:citations_common termPrefForLang,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termPrefForLang,Citation Information,Term,Term preferred for lang,citationTermGroupList > citationTermGroup,termPrefForLang,boolean,n,n,y,"","",citation termPrefForLang,""
core citation ns2:citations_common termFullCitation,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termFullCitation,Citation Information,Term,Term full citation,citationTermGroupList > citationTermGroup,termFullCitation,string,n,n,y,"","",citation termFullCitation,""
core citation ns2:citations_common termTitle,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termTitle,Citation Information,Term,Term title,citationTermGroupList > citationTermGroup,termTitle,string,n,n,y,"","",citation termTitle,""
core citation ns2:citations_common termSubTitle,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termSubTitle,Citation Information,Term,Term subtitle,citationTermGroupList > citationTermGroup,termSubTitle,string,n,n,y,"","",citation termSubTitle,""
core citation ns2:citations_common termSectionTitle,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termSectionTitle,Citation Information,Term,Term section title,citationTermGroupList > citationTermGroup,termSectionTitle,string,n,n,y,"","",citation termSectionTitle,""
core citation ns2:citations_common termVolume,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termVolume,Citation Information,Term,Term volume,citationTermGroupList > citationTermGroup,termVolume,string,n,n,y,"","",citation termVolume,""
core citation ns2:citations_common termIssue,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termIssue,Citation Information,Term,Term issue,citationTermGroupList > citationTermGroup,termIssue,string,n,n,y,"","",citation termIssue,""
core citation ns2:citations_common termSource,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termSource,Citation Information,Term > Source,Term source name,citationTermGroupList > citationTermGroup,termSource,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",citation termSource,""
core citation ns2:citations_common termSourceDetail,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceDetail,Citation Information,Term > Source,Term source detail,citationTermGroupList > citationTermGroup,termSourceDetail,string,n,n,y,"","",citation termSourceDetail,""
core citation ns2:citations_common termSourceID,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceID,Citation Information,Term > Source,Term source ID,citationTermGroupList > citationTermGroup,termSourceID,string,n,n,y,"","",citation termSourceID,""
core citation ns2:citations_common termSourceNote,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceNote,Citation Information,Term > Source,Term source note,citationTermGroupList > citationTermGroup,termSourceNote,string,n,n,y,"","",citation termSourceNote,""
core citation ns2:citations_common publisher,core,citation,ns2:citations_common,ns2:citations_common,citations_common.publisher,Citation Information,Publication,Publisher,citationPublicationInfoGroupList > citationPublicationInfoGroup,publisher,string,n,n,y,authority: organization/local,"",citation publisher,""
core citation ns2:citations_common publicationPlace,core,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationPlace,Citation Information,Publication,Publication place,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationPlace,string,n,n,y,authority: place/local; authority: place/tgn,"",citation publicationPlace,""
core citation ns2:citations_common publicationDate,core,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationDate,Citation Information,Publication,Publication date,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationDate,structured date group,n,n,y,"","",citation publicationDate,""
core citation ns2:citations_common edition,core,citation,ns2:citations_common,ns2:citations_common,citations_common.edition,Citation Information,Publication,Publication edition,citationPublicationInfoGroupList > citationPublicationInfoGroup,edition,string,n,n,y,"","",citation edition,""
core citation ns2:citations_common pages,core,citation,ns2:citations_common,ns2:citations_common,citations_common.pages,Citation Information,Publication,Publication page(s),citationPublicationInfoGroupList > citationPublicationInfoGroup,pages,string,n,n,y,"","",citation pages,""
core citation ns2:citations_common agent,core,citation,ns2:citations_common,ns2:citations_common,citations_common.agent,Citation Information,Agent,Agent name,citationAgentInfoGroupList > citationAgentInfoGroup,agent,string,n,n,y,authority: person/local; authority: person/ulan; authority: organization/local,"",citation agent,""
core citation ns2:citations_common role,core,citation,ns2:citations_common,ns2:citations_common,citations_common.role,Citation Information,Agent,Agent role,citationAgentInfoGroupList > citationAgentInfoGroup,role,string,n,n,y,vocabulary: agentinfotype,"",citation role,""
core citation ns2:citations_common note,core,citation,ns2:citations_common,ns2:citations_common,citations_common.note,Citation Information,Agent,Agent note,citationAgentInfoGroupList > citationAgentInfoGroup,note,string,n,n,y,"","",citation note,""
core citation ns2:citations_common citationNote,core,citation,ns2:citations_common,ns2:citations_common,citations_common.citationNote,Citation Information,"",Note,"",citationNote,string,n,n,n/a,"","",citation citationNote,""
core citation ns2:citations_common resourceIdent,core,citation,ns2:citations_common,ns2:citations_common,citations_common.resourceIdent,Citation Information,Resource identifier,Resource identifier,citationResourceIdentGroupList > citationResourceIdentGroup,resourceIdent,string,n,n,y,"","",citation resourceIdent,""
core citation ns2:citations_common type,core,citation,ns2:citations_common,ns2:citations_common,citations_common.type,Citation Information,Resource identifier,Resource identifier type,citationResourceIdentGroupList > citationResourceIdentGroup,type,string,n,n,y,vocabulary: resourceidtype,"",citation type,""
core citation ns2:citations_common captureDate,core,citation,ns2:citations_common,ns2:citations_common,citations_common.captureDate,Citation Information,Resource identifier,Resource identifier capture date,citationResourceIdentGroupList > citationResourceIdentGroup,captureDate,structured date group,n,n,y,"","",citation captureDate,""
core citation ns2:citations_common relatedTerm,core,citation,ns2:citations_common,ns2:citations_common,citations_common.relatedTerm,Citation Information,Related term,Related term,citationRelatedTermsGroupList > citationRelatedTermsGroup,relatedTerm,string,n,n,y,authority: concept/associated; authority: concept/activity; authority: concept/material,"",citation relatedTerm,""
core citation ns2:citations_common relationType,core,citation,ns2:citations_common,ns2:citations_common,citations_common.relationType,Citation Information,Related term,Related term type,citationRelatedTermsGroupList > citationRelatedTermsGroup,relationType,string,n,n,y,vocabulary: relationtypetype,"",citation relationType,""
core chronology ns2:chronologies_common termDisplayName,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termDisplayName,Chronology Information,Term,Term display name,chronologyTermGroupList > chronologyTermGroup,termDisplayName,string,y,n,y,"","",chronology termDisplayName,""
core chronology ns2:chronologies_common termName,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termName,Chronology Information,Term,Term name,chronologyTermGroupList > chronologyTermGroup,termName,string,n,n,y,"","",chronology termName,""
core chronology ns2:chronologies_common termQualifier,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termQualifier,Chronology Information,Term,Term qualifier,chronologyTermGroupList > chronologyTermGroup,termQualifier,string,n,n,y,"","",chronology termQualifier,""
core chronology ns2:chronologies_common termStatus,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termStatus,Chronology Information,Term,Term status,chronologyTermGroupList > chronologyTermGroup,termStatus,string,n,n,y,vocabulary: chronologytermstatus,"",chronology termStatus,""
core chronology ns2:chronologies_common termType,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termType,Chronology Information,Term,Term type,chronologyTermGroupList > chronologyTermGroup,termType,string,n,n,y,vocabulary: chronologytermtype,"",chronology termType,""
core chronology ns2:chronologies_common termFlag,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termFlag,Chronology Information,Term,Term flag,chronologyTermGroupList > chronologyTermGroup,termFlag,string,n,n,y,vocabulary: chronologytermflag,"",chronology termFlag,""
core chronology ns2:chronologies_common historicalStatus,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.historicalStatus,Chronology Information,Term,Term historical status,chronologyTermGroupList > chronologyTermGroup,historicalStatus,string,n,n,y,vocabulary: chronologyhistoricalstatus,"",chronology historicalStatus,""
core chronology ns2:chronologies_common termLanguage,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termLanguage,Chronology Information,Term,Term language,chronologyTermGroupList > chronologyTermGroup,termLanguage,string,n,n,y,vocabulary: languages,"",chronology termLanguage,""
core chronology ns2:chronologies_common termPrefForLang,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termPrefForLang,Chronology Information,Term,Term preferred for lang,chronologyTermGroupList > chronologyTermGroup,termPrefForLang,boolean,n,n,y,"","",chronology termPrefForLang,""
core chronology ns2:chronologies_common termSource,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSource,Chronology Information,Term > Source,Term source name,chronologyTermGroupList > chronologyTermGroup,termSource,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",chronology termSource,""
core chronology ns2:chronologies_common termSourceDetail,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceDetail,Chronology Information,Term > Source,Term source detail,chronologyTermGroupList > chronologyTermGroup,termSourceDetail,string,n,n,y,"","",chronology termSourceDetail,""
core chronology ns2:chronologies_common termSourceID,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceID,Chronology Information,Term > Source,Term source ID,chronologyTermGroupList > chronologyTermGroup,termSourceID,string,n,n,y,"","",chronology termSourceID,""
core chronology ns2:chronologies_common termSourceNote,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceNote,Chronology Information,Term > Source,Term source note,chronologyTermGroupList > chronologyTermGroup,termSourceNote,string,n,n,y,"","",chronology termSourceNote,""
core chronology ns2:chronologies_common primaryDateRangeStructuredDateGroup,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.primaryDateRangeStructuredDateGroup,Chronology Information,"",Primary date range,"",primaryDateRangeStructuredDateGroup,structured date group,n,n,n/a,"","",chronology primaryDateRangeStructuredDateGroup,""
core chronology ns2:chronologies_common chronologyType,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyType,Chronology Information,"",Chronology type,"",chronologyType,string,n,n,n/a,vocabulary: chronologytypes,"",chronology chronologyType,""
core chronology ns2:chronologies_common spatialCoverage,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.spatialCoverage,Chronology Information,"",Spatial coverage,spatialCoverages,spatialCoverage,string,n,y,n,authority: place/local; authority: place/tgn,"",chronology spatialCoverage,""
core chronology ns2:chronologies_common chronologyDescription,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyDescription,Chronology Information,"",Chronology description,"",chronologyDescription,string,n,n,n/a,"","",chronology chronologyDescription,""
core chronology ns2:chronologies_common chronologyNote,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyNote,Chronology Information,"",Chronology note,"",chronologyNote,string,n,n,n/a,"","",chronology chronologyNote,""
core chronology ns2:chronologies_common identifierValue,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.identifierValue,Chronology Information,Resource identifier,Resource identifier value,identifierGroupList > identifierGroup,identifierValue,string,n,n,y,"","",chronology identifierValue,""
core chronology ns2:chronologies_common identifierCitation,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.identifierCitation,Chronology Information,Resource identifier,Resource identifier citation,identifierGroupList > identifierGroup,identifierCitation,string,n,n,y,authority: citation/local; authority: citation/worldcat,"",chronology identifierCitation,""
core chronology ns2:chronologies_common identifierDate,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.identifierDate,Chronology Information,Resource identifier,Resource identifier date,identifierGroupList > identifierGroup,identifierDate,date,n,n,y,"","",chronology identifierDate,""
core chronology ns2:chronologies_common altDateRangeStructuredDateGroup,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.altDateRangeStructuredDateGroup,Alternative Date Information,Alternative date,Alternative date range,altDateGroupList > altDateGroup,altDateRangeStructuredDateGroup,structured date group,n,n,y,"","",chronology altDateRangeStructuredDateGroup,""
core chronology ns2:chronologies_common altDateSpatialCoverage,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.altDateSpatialCoverage,Alternative Date Information,Alternative date,Alternative date spatial coverage,altDateGroupList > altDateGroup > altDateSpatialCoverages,altDateSpatialCoverage,string,n,y,as part of larger repeating group,authority: place/local; authority: place/tgn,"",chronology altDateSpatialCoverage,""
core chronology ns2:chronologies_common altDateCitation,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.altDateCitation,Alternative Date Information,Alternative date,Alternative date citation,altDateGroupList > altDateGroup > altDateCitations,altDateCitation,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,"",chronology altDateCitation,""
core chronology ns2:chronologies_common altDateNote,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.altDateNote,Alternative Date Information,Alternative date,Alternative date note,altDateGroupList > altDateGroup,altDateNote,string,n,n,y,"","",chronology altDateNote,""
core chronology ns2:chronologies_common assocPerson,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.assocPerson,Associated Authorities,Associated person,multiple msg matches: chronologies_common.assocPerson,assocPersonAuthGroupList > assocPersonAuthGroup,assocPerson,string,n,n,y,authority: person/local; authority: person/ulan,"",chronology assocPerson,y
core chronology ns2:chronologies_common assocPersonType,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.assocPersonType,Associated Authorities,Associated person,multiple msg matches: chronologies_common.assocPersonType,assocPersonAuthGroupList > assocPersonAuthGroup,assocPersonType,string,n,n,y,vocabulary: assocauthorityrelationtype,"",chronology assocPersonType,y
core chronology ns2:chronologies_common assocPersonStructuredDateGroup,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.assocPersonStructuredDateGroup,Associated Authorities,Associated person,Associated person date,assocPersonAuthGroupList > assocPersonAuthGroup,assocPersonStructuredDateGroup,structured date group,n,n,y,"","",chronology assocPersonStructuredDateGroup,y
core chronology ns2:chronologies_common assocPersonCitation,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.assocPersonCitation,Associated Authorities,Associated person,Associated person citation,assocPersonAuthGroupList > assocPersonAuthGroup > assocPersonCitations,assocPersonCitation,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,"",chronology assocPersonCitation,y
core chronology ns2:chronologies_common assocPersonNote,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.assocPersonNote,Associated Authorities,Associated person,multiple msg matches: chronologies_common.assocPersonNote,assocPersonAuthGroupList > assocPersonAuthGroup,assocPersonNote,string,n,n,y,"","",chronology assocPersonNote,y
core chronology ns2:chronologies_common assocPeople,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.assocPeople,Associated Authorities,Associated people,multiple msg matches: chronologies_common.assocPeople,assocPeopleAuthGroupList > assocPeopleAuthGroup,assocPeople,string,n,n,y,authority: concept/associated,"",chronology assocPeople,y
core chronology ns2:chronologies_common assocPeopleType,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.assocPeopleType,Associated Authorities,Associated people,multiple msg matches: chronologies_common.assocPeopleType,assocPeopleAuthGroupList > assocPeopleAuthGroup,assocPeopleType,string,n,n,y,vocabulary: assocauthorityrelationtype,"",chronology assocPeopleType,y
core chronology ns2:chronologies_common assocPeopleStructuredDateGroup,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.assocPeopleStructuredDateGroup,Associated Authorities,Associated people,Associated people date,assocPeopleAuthGroupList > assocPeopleAuthGroup,assocPeopleStructuredDateGroup,structured date group,n,n,y,"","",chronology assocPeopleStructuredDateGroup,y
core chronology ns2:chronologies_common assocPeopleCitation,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.assocPeopleCitation,Associated Authorities,Associated people,Associated people citation,assocPeopleAuthGroupList > assocPeopleAuthGroup > assocPeopleCitations,assocPeopleCitation,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,"",chronology assocPeopleCitation,y
core chronology ns2:chronologies_common assocPeopleNote,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.assocPeopleNote,Associated Authorities,Associated people,multiple msg matches: chronologies_common.assocPeopleNote,assocPeopleAuthGroupList > assocPeopleAuthGroup,assocPeopleNote,string,n,n,y,"","",chronology assocPeopleNote,y
core chronology ns2:chronologies_common assocOrganization,core,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.assocOrganization,Associated Authorities,Associated organization,multiple msg matches: chronologies_common.assocOrganization,assocOrganizationAuthGroupList > assocOrganizationAuthGroup,assocOrganization,string,n,n,y,authority: organization/local; authority: organization/ulan,"",chronology assocOrganization,y
